ISBN,title,author,genre,description,language,data_source,url
978-1-474-60365-2,Kill 'Em and Leave: Searching for the Real James Brown,McBride J.,Գեղարվեստական գրականություն,,Անգլերեն,books.am,https://www.books.am/am/catalog/product/view/id/5399/category/7464/
978-5-907024-65-6,"Нужно иметь смелость, чтобы лечить людей?",Сеченов И.М.,Գեղարվեստական գրականություն,,Русский,books.am,https://www.books.am/am/catalog/product/view/id/5270/category/7464/
9781785573224,Fashion Decades Colouring Book,,Գեղարվեստական գրականություն,,English,books.am,https://www.books.am/am/catalog/product/view/id/5511/category/7464/
2009923919275,"Հրաժեշտ պատրանքներին։ Իմ, ժամանակի և Ռուսաստանի մասին երկյուղալի անկեղծությամբ (փափուկ)",Պոզներ Վլադիմիր,Գեղարվեստական գրականություն,,հայերեն,books.am,https://www.books.am/am/catalog/product/view/id/5223/category/7464/
9781784407117,Mega Machines Play box,,Գեղարվեստական գրականություն,,English,books.am,https://www.books.am/am/catalog/product/view/id/5748/category/7464/
9781785576966,If You're Happy and You Know It,,Գեղարվեստական գրականություն,,English,books.am,https://www.books.am/am/catalog/product/view/id/5695/category/7464/
978-9939-68-627-1,Այսպիսին է Վան Գոգը,Ռոդըմ Ջորջ,Գեղարվեստական գրականություն,,հայերեն,books.am,https://www.books.am/am/catalog/product/view/id/6722/category/7464/
978-9939-847-52-8,Գունավորիր ջրով․ Առակներ (Խնկո Ապեր),,Գեղարվեստական գրականություն,,հայերեն,books.am,https://www.books.am/am/catalog/product/view/id/4872/category/7464/
978-5-389-14196-4,В глубине ноября,Янссон Туве,Գեղարվեստական գրականություն,,русский,books.am,https://www.books.am/am/catalog/product/view/id/4866/category/7464/
978-9939-9117-5-5,"Հրաժեշտ պատրանքներին։ Իմ, ժամանակի և Ռուսաստանի մասին երկյուղալի անկեղծությամբ (կոշտ)",Պոզներ Վ․ Վ․,Գեղարվեստական գրականություն,,Հայերեն,books.am,https://www.books.am/am/catalog/product/view/id/7943/category/7464/
978-5-8077-0838-0,Сказки (Туманян Ов.),Туманян Ованес,Գեղարվեստական գրականություն,,русский,books.am,https://www.books.am/am/catalog/product/view/id/4729/category/7464/
9780718157838,Me Before You,Moyes Jojo,Գեղարվեստական գրականություն,,English,books.am,https://www.books.am/am/catalog/product/view/id/56447/category/7464/
9780241979921,Three Daughters of Eve,Shafak Elif,Գեղարվեստական գրականություն,,English,books.am,https://www.books.am/am/catalog/product/view/id/56411/category/7464/
9780141197531,A Clockwork Orange,Burgess Anthony,Գեղարվեստական գրականություն,,English,books.am,https://www.books.am/am/catalog/product/view/id/56416/category/7464/
978-9939-891-13-2,Կինը,Վանյան Արփի,Գեղարվեստական գրականություն,,հայերեն,books.am,https://www.books.am/am/catalog/product/view/id/56423/category/7464/
9780099555254,My Policeman,Roberts Bethan,Գեղարվեստական գրականություն,,English,books.am,https://www.books.am/am/catalog/product/view/id/56886/category/7464/
