url,title,price,ISBN,language,publish date,author,genre,data_source
https://www.books.am/am/catalog/product/view/id/5246/category/7464/,Неаполитанский квартет (комплект из 4 книг),9000,978-5-906837-85-1,русский,2019,Ферранте Элена,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5399/category/7464/,Kill 'Em and Leave: Searching for the Real James Brown,2900,978-1-474-60365-2,Անգլերեն,2016,McBride J.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5328/category/7464/,Disney Storytime Collection: Tangled,2900,9781788109888,English,2020,,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5270/category/7464/,"Нужно иметь смелость, чтобы лечить людей?",1000,978-5-907024-65-6,Русский,2018,Сеченов И.М.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5511/category/7464/,Fashion Decades Colouring Book,2800,9781785573224,English,2016,,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5411/category/7464/,The Master and Margarita,3200,978-0-330-54393-4,English,2010,Bulgakov Mikhail,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5235/category/7464/,The Rest Of The Robots,3200,9780008277802,English,1967,Isaac Asimov,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5335/category/7464/,Հեքիաթներ (Անդերսեն Հ․ Ք․) ՄՀՄ գրատուն,3750,978-9939-842-55-4,հայերեն,2019,Անդերսեն Հանս Քրիստիան,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5289/category/7464/,Щегол,9800,978-5-17-085448-6,русский,2021,Тартт Донна,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5223/category/7464/,"Հրաժեշտ պատրանքներին։ Իմ, ժամանակի և Ռուսաստանի մասին երկյուղալի անկեղծությամբ (փափուկ)",4800,2009923919275,հայերեն,2019,Պոզներ Վլադիմիր,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5372/category/7464/,Lies (Gone 3),1000,9780603576461,English,2018,Grant Michael,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5360/category/7464/,Travels of the Zephyr,5800,9780810989740,English,2019,Killian M. Caroline,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5748/category/7464/,Mega Machines Play box,2000,9781784407117,English,2019,,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6439/category/7464/,Черная книга,2600,978-5-389-15671-5,русский,2019,Памук Орхан,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6316/category/7464/,Молитва морю,1000,978-5-86471-805-6,русский,2018,Хоссейни Халед,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5673/category/7464/,1Q84. Тысяча Невестьсот Восемьдесят Четыре. Кн. 1. Апрель - июнь,5500,978-5-04-098053-6,русский,2020,Мураками Харуки,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5695/category/7464/,If You're Happy and You Know It,2000,9781785576966,English,2019,,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5523/category/7464/,The Armageddon Rag,2900,9780575129559,English,1,Martin George R. R.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6317/category/7464/,Սասունցի Դավիթ․ Վերք Հայաստանի,500,978-9939-810-47-8,հայերեն,1,Աբովյան Խաչատուր,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6406/category/7464/,Юная Невеста,2000,978-5-389-11031-1,Русский,2016,Барикко А.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/5649/category/7464/,Սպիտակ ժանիքը (փափուկ),2700,9789939751290,հայերեն,2017,Լոնդոն Ջեկ,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6616/category/7464/,Splish Splash bath book. Farm Friends,1800,9781909090118,English,2019,,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6449/category/7464/,Ты изменил мою жизнь (Голливуд),2500,978-5-00131-060-0,русский,2019,Селлу Абдель,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6502/category/7464/,Под знаком незаконнорожденных,1500,978-5-389-12657-2,русский,1,Набоков Владимир,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6475/category/7464/,Աննը Ֆրանկ․ Հետնատունը,4900,978-9939-9180-4-4,հայերեն,2019,,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6551/category/7464/,Գերբնական գազաններ և որտեղ են նրանք բնակվում,2900,978-9939-68-678-3,հայերեն,2019,Ռոուլինգ Ջոան,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6721/category/7464/,Ապրելու ժամանակը և մեռնելու ժամանակը,5000,978-9939-75-339-3,հայերեն,2019,Ռեմարկ Էրիխ Մարիա,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6681/category/7464/,Iron Man,3600,9781474877060,English,2016,,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6503/category/7464/,Размышляя о Брюсе Кеннеди,4000,978-5-389-04812-6,Русский,2014,Кох Г.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7529/category/7464/,Cinderella Takes the Stage,1900,9781788102773,English,2017,,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6872/category/7464/,Կառափնարան,3990,978-9939-76-222-7,հայերեն,2019,Այթմատով Չինգիզ,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6461/category/7464/,Փախուստ ծառերի մոտ,1250,978-9939-60-540-1,Հայերեն,2019,Սիսյան Ա.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6769/category/7464/,"Այ փոքրիկներ, այ սիրուններ",1500,978-9939-858-17-3,Հայերեն,2019,Թումանյան Հ.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6860/category/7464/,Մարգո թագուհին,4990,978-9939-76-315-6,հայերեն,2019,Դյումա Ալեքսանդր,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6815/category/7464/,Vintage Lindsay: Picnic at Hanging Rock,1000,9780099577140,английский,2013,Lindsay Joan,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6756/category/7464/,Я козел,500,978-5-9614-5925-8,русский,2016,Кузнецов Борис,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7470/category/7464/,"Պահարանում հրեշ կա, և ես դա կապացուցեմ ձեզ․․․",3500,978-9939-68-650-9,հայերեն,2019,Դոլ Անտուան,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7448/category/7464/,Ակցիա․ Էքզյուպերի- Երկերի ժողովածու + Կանչ,3500,,հայերեն,2019,դը Սենտ-Էքզյուպերի Անտուան,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6623/category/7464/,И все-таки она красавица,4700,978-5-86471-800-1,Русский,2018,Бюсси М.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6722/category/7464/,Այսպիսին է Վան Գոգը,3600,978-9939-68-627-1,հայերեն,2019,Ռոդըմ Ջորջ,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/6723/category/7464/,Ալիսի արկածները հրաշքների աշխարհում,6990,978-9939-76-322-4,հայերեն,2018,Քերոլ Լուիս,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7913/category/7464/,Թեթև տարեք (կոշտ),2990,978-9939-76-345-3,Հայերեն,2019,Զոհրաբյան Է.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7901/category/7464/,Ատյան ողբերգության,6400,978-9939-78-030-6,հայերեն,2020,Սահակյան Վահրամ,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7788/category/7464/,Թեթև տարեք (փափուկ),1000,978-9939-76-347-7,հայերեն,2019,Զոհրաբյան Էլֆիք,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7871/category/7464/,Թզուկ մզուկը,2200,978-9939-831-978,հայերեն,2017,Սարգսյան Նունե,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7893/category/7464/,Герои,2500,978-9939-831-66-4,русский,2010,Սարգսյան Նունե,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7580/category/7464/,Дамы из Грейс-Адьё и другие истории,2500,978-5-389-12721-0,русский,2019,Кларк С.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7777/category/7464/,Մանյա այրք,3990,978-9939-76-351-4,հայերեն,2019,Գրիգորյան Վ.,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/7743/category/7464/,Կոմս Մոնտե - Քրիստո․գիրք 2,5900,978-9939-75-344-7,հայերեն,2019,Դյումա Ալեքսանդր,Գեղարվեստական գրականություն,books.am
https://www.books.am/am/catalog/product/view/id/4872/category/7464/,Գունավորիր ջրով․ Առակներ (Խնկո Ապեր),1950,978-9939-847-52-8,հայերեն,2018,,Գեղարվեստական գրականություն,books.am
